Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average,High Alch Profit,Profit From High Alch
5/30/2019,37827,37903,80494,156,TRUE,417
5/31/2019,37879,37901,96701,157,TRUE,364
6/1/2019,37607,37889,132639,155,TRUE,638
6/2/2019,37566,37877,132110,149,TRUE,685
6/3/2019,37679,37868,87555,143,TRUE,578
6/4/2019,37763,37862,108640,142,TRUE,495
6/5/2019,37861,37860,9625,147,TRUE,392
6/6/2019,37892,37858,104935,153,TRUE,355
6/7/2019,37681,37851,117535,157,TRUE,562
6/8/2019,37592,37840,169034,159,TRUE,649
6/9/2019,37548,37826,18114,158,TRUE,694
6/10/2019,37722,37820,30133,155,TRUE,523
6/11/2019,37824,37817,94142,158,TRUE,418
6/12/2019,37906,37816,60112,155,TRUE,339
6/13/2019,37947,37817,74044,152,TRUE,301
6/14/2019,37979,37817,63794,151,TRUE,270
6/15/2019,38016,37819,34021,144,TRUE,240
6/16/2019,38043,37822,4757,140,TRUE,217
6/17/2019,37988,37823,61992,142,TRUE,270
6/18/2019,37973,37827,43610,147,TRUE,280
6/19/2019,37955,37829,51738,150,TRUE,295
6/20/2019,37973,37831,89143,149,TRUE,278
6/21/2019,37962,37834,46430,153,TRUE,285
6/22/2019,37987,37838,36966,155,TRUE,258
6/23/2019,38048,37843,383,155,TRUE,197
6/24/2019,37936,37843,50876,156,TRUE,308
6/25/2019,37926,37847,63422,158,TRUE,316
6/26/2019,37924,37854,52068,161,TRUE,315
6/27/2019,37932,37858,72752,163,TRUE,305
6/28/2019,37941,37862,30278,167,TRUE,292
6/29/2019,37951,37866,70492,167,TRUE,282
6/30/2019,37948,37869,13438,164,TRUE,288
7/1/2019,37935,37879,33111,161,TRUE,304
7/2/2019,37965,37893,82386,159,TRUE,276
7/3/2019,37917,37901,64442,158,TRUE,325
7/4/2019,37939,37907,43596,157,TRUE,304
7/5/2019,37927,37909,81684,155,TRUE,318
7/6/2019,37885,37909,49285,151,TRUE,364
7/7/2019,37930,37917,57998,146,TRUE,324
7/8/2019,37934,37928,47526,142,TRUE,324
7/9/2019,37930,37941,71135,146,TRUE,324
7/10/2019,37944,37948,2627,150,TRUE,306
7/11/2019,37949,37953,51273,152,TRUE,299
7/12/2019,37945,37954,99806,155,TRUE,300
7/13/2019,37942,37954,35424,155,TRUE,303
7/14/2019,37934,37952,25135,153,TRUE,313
7/15/2019,37943,37950,28281,151,TRUE,306
7/16/2019,38001,37948,54207,150,TRUE,249
7/17/2019,37990,37948,22804,151,TRUE,259
7/18/2019,37978,37949,53928,152,TRUE,270
7/19/2019,37930,37948,47490,150,TRUE,320
7/20/2019,37941,37947,47156,148,TRUE,311
7/21/2019,37945,37946,8182,147,TRUE,308
7/22/2019,37921,37944,56489,147,TRUE,332
7/23/2019,37919,37940,63447,152,TRUE,329
7/24/2019,37937,37940,1435,155,TRUE,308
7/25/2019,37901,37939,44421,155,TRUE,344
7/26/2019,37933,37939,43884,156,TRUE,311
7/27/2019,38000,37941,72688,154,TRUE,246
7/28/2019,37863,37939,61194,153,TRUE,384
7/29/2019,37782,37933,51152,151,TRUE,467
7/30/2019,37849,37930,80866,150,TRUE,401
7/31/2019,37865,37927,16284,149,TRUE,386
8/1/2019,37848,37924,56058,149,TRUE,403
8/2/2019,37870,37922,63551,148,TRUE,382
8/3/2019,37848,37919,96363,147,TRUE,405
8/4/2019,37838,37916,12228,146,TRUE,416
8/5/2019,37839,37914,82958,147,TRUE,414
8/6/2019,37802,37910,52813,150,TRUE,448
8/7/2019,37863,37908,35198,150,TRUE,387
8/8/2019,37819,37904,63224,147,TRUE,434
8/9/2019,37694,37896,51075,144,TRUE,562
8/10/2019,37718,37888,105832,142,TRUE,540
8/11/2019,37783,37883,45931,139,TRUE,478
8/12/2019,37799,37878,67660,139,TRUE,462
8/13/2019,37735,37871,59670,140,TRUE,525
8/14/2019,37818,37867,75015,143,TRUE,439
8/15/2019,37740,37858,59010,145,TRUE,515
8/16/2019,37832,37853,99489,144,TRUE,424
8/17/2019,37882,37850,27418,141,TRUE,377
8/18/2019,37899,37849,72936,140,TRUE,361
8/19/2019,37913,37848,57323,138,TRUE,349
8/20/2019,37910,37847,46812,142,TRUE,348
8/21/2019,37953,37848,61327,144,TRUE,303
8/22/2019,37850,37846,90358,144,TRUE,406
8/23/2019,37856,37843,39022,145,TRUE,399
8/24/2019,37907,37843,92930,147,TRUE,346
8/25/2019,37880,37841,42607,148,TRUE,372
8/26/2019,37854,37836,67576,149,TRUE,397
8/27/2019,37873,37837,47392,148,TRUE,379
8/28/2019,37914,37841,2471,146,TRUE,340
8/29/2019,37953,37845,4135,149,TRUE,298
8/30/2019,37963,37848,90441,152,TRUE,285
8/31/2019,37882,37849,32703,151,TRUE,367
9/1/2019,37871,37849,24048,151,TRUE,378
9/2/2019,37894,37851,28991,150,TRUE,356
9/3/2019,37891,37852,78372,150,TRUE,359
9/4/2019,37944,37856,19406,149,TRUE,307
9/5/2019,37934,37860,45464,150,TRUE,316
9/6/2019,37921,37862,33046,149,TRUE,330
9/7/2019,37924,37866,78877,147,TRUE,329
9/8/2019,37889,37872,44902,144,TRUE,367
9/9/2019,37896,37878,40158,143,TRUE,361
9/10/2019,37916,37883,36859,147,TRUE,337
9/11/2019,37942,37887,61036,150,TRUE,308
9/12/2019,37985,37896,40484,150,TRUE,265
9/13/2019,37999,37902,51283,154,TRUE,247
9/14/2019,37938,37908,61785,155,TRUE,307
9/15/2019,37915,37911,58852,157,TRUE,328
9/16/2019,37890,37911,54129,159,TRUE,351
9/17/2019,37942,37913,47945,162,TRUE,296
9/18/2019,37918,37913,22547,160,TRUE,322
9/19/2019,37872,37912,40231,160,TRUE,368
9/20/2019,37924,37911,35179,158,TRUE,318
9/21/2019,37918,37913,68097,155,TRUE,327
9/22/2019,37852,37913,53443,153,TRUE,395
9/23/2019,37839,37911,77765,152,TRUE,409
9/24/2019,37856,37910,27794,153,TRUE,391
9/25/2019,37873,37910,63494,154,TRUE,373
9/26/2019,37891,37911,70904,154,TRUE,355
9/27/2019,37899,37911,31578,154,TRUE,347
9/28/2019,37922,37910,72031,158,TRUE,320
9/29/2019,37857,37906,33548,163,TRUE,380
9/30/2019,37823,37904,43943,168,TRUE,409
10/1/2019,37826,37903,21093,173,TRUE,401
10/2/2019,37844,37901,36467,181,TRUE,375
10/3/2019,37836,37899,47154,186,TRUE,378
10/4/2019,37873,37897,49083,190,TRUE,337
10/5/2019,37781,37892,55083,194,TRUE,425
10/6/2019,37853,37889,22789,198,TRUE,349
10/7/2019,37881,37888,41992,204,TRUE,315
10/8/2019,37889,37888,67906,211,TRUE,300
10/9/2019,37818,37885,31559,211,TRUE,371
10/10/2019,37729,37879,70219,205,TRUE,466
10/11/2019,37796,37874,40677,197,TRUE,407
10/12/2019,37830,37869,57120,187,TRUE,383
10/13/2019,37837,37864,9210,177,TRUE,386
10/14/2019,37807,37859,83778,168,TRUE,425
10/15/2019,37790,37855,46754,161,TRUE,449
10/16/2019,37785,37852,19391,156,TRUE,459
10/17/2019,37832,37848,36966,158,TRUE,410
10/18/2019,37834,37845,62157,162,TRUE,404
10/19/2019,37871,37845,76578,162,TRUE,367
10/20/2019,37865,37843,37705,164,TRUE,371
10/21/2019,37867,37841,48755,166,TRUE,367
10/22/2019,37830,37841,48376,174,TRUE,396
10/23/2019,37858,37841,69172,178,TRUE,364
10/24/2019,37860,37841,52552,180,TRUE,360
10/25/2019,37873,37841,55999,178,TRUE,349
10/26/2019,37906,37842,70344,173,TRUE,321
10/27/2019,37885,37841,52611,166,TRUE,349
10/28/2019,37839,37839,77610,161,TRUE,400
10/29/2019,37845,37838,31639,167,TRUE,388
10/30/2019,37858,37839,52143,174,TRUE,368
10/31/2019,37861,37841,67755,178,TRUE,361
11/1/2019,37877,37842,76848,178,TRUE,345
11/2/2019,37744,37839,77076,177,TRUE,479
11/3/2019,37787,37836,22242,174,TRUE,439
11/4/2019,37857,37838,65572,173,TRUE,370
11/5/2019,37843,37838,31940,180,TRUE,377
11/6/2019,37851,37837,73808,186,TRUE,363
11/7/2019,37769,37833,55533,184,TRUE,447
11/8/2019,37787,37832,74083,176,TRUE,437
11/9/2019,37786,37834,74075,168,TRUE,446
11/10/2019,37825,37835,20082,161,TRUE,414
11/11/2019,37827,37835,10027,165,TRUE,408
11/12/2019,37830,37834,46240,165,TRUE,405
11/13/2019,37838,37836,56875,161,TRUE,401
11/14/2019,37819,37836,66476,160,TRUE,421
11/15/2019,37826,37838,73820,162,TRUE,412
11/16/2019,37847,37838,97630,157,TRUE,396
11/17/2019,37836,37838,26554,155,TRUE,409
11/18/2019,37851,37838,94274,157,TRUE,392
11/19/2019,37818,37836,47186,158,TRUE,424
11/20/2019,37825,37835,8360,157,TRUE,418
11/21/2019,37795,37834,36633,153,TRUE,452
11/22/2019,37823,37832,84547,150,TRUE,427
11/23/2019,37788,37830,71055,145,TRUE,467
11/24/2019,37826,37828,69571,144,TRUE,430
11/25/2019,37818,37826,30959,148,TRUE,434
