Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average,Profit From High Alch
5/30/2019,59166,59119,10732,156,678
5/31/2019,59157,59117,8397,157,686
6/1/2019,59143,59113,11510,155,702
6/2/2019,59151,59111,11537,149,700
6/3/2019,59133,59108,8762,143,724
6/4/2019,59168,59111,13530,142,690
6/5/2019,59197,59117,1672,147,656
6/6/2019,59221,59118,9693,153,626
6/7/2019,59243,59122,11018,157,600
6/8/2019,59176,59123,14649,159,665
6/9/2019,59005,59116,2328,158,837
6/10/2019,59123,59117,3701,155,722
6/11/2019,59180,59126,14184,158,662
6/12/2019,59198,59134,9145,155,647
6/13/2019,59221,59138,12683,152,627
6/14/2019,59191,59140,11743,151,658
6/15/2019,59191,59140,7420,144,665
6/16/2019,59209,59141,866,140,651
6/17/2019,59195,59143,10570,142,663
6/18/2019,59227,59150,6600,147,626
6/19/2019,59290,59158,9715,150,560
6/20/2019,59292,59163,16463,149,559
6/21/2019,59166,59164,9417,153,681
6/22/2019,59195,59164,8026,155,650
6/23/2019,59046,59157,68,155,799
6/24/2019,59047,59153,9015,156,797
6/25/2019,59018,59153,11468,158,824
6/26/2019,58636,59145,9437,161,1203
6/27/2019,59109,59147,12790,163,728
6/28/2019,59161,59148,5834,167,672
6/29/2019,59108,59146,12851,167,725
6/30/2019,59123,59145,2824,164,713
7/1/2019,59020,59141,6528,161,819
7/2/2019,59120,59140,12857,159,721
7/3/2019,59154,59141,12342,158,688
7/4/2019,59134,59139,7954,157,709
7/5/2019,59142,59138,13932,155,703
7/6/2019,59076,59133,9980,151,773
7/7/2019,59102,59128,10557,146,752
7/8/2019,59104,59126,8010,142,754
7/9/2019,59159,59131,12717,146,695
7/10/2019,59185,59133,567,150,665
7/11/2019,59195,59133,9028,152,653
7/12/2019,59210,59134,16177,155,635
7/13/2019,59201,59133,6135,155,644
7/14/2019,59148,59132,4655,153,699
7/15/2019,59164,59131,5915,151,685
7/16/2019,59201,59130,9224,150,649
7/17/2019,59212,59131,3936,151,637
7/18/2019,59225,59131,9076,152,623
7/19/2019,59223,59129,9760,150,627
7/20/2019,59215,59126,8943,148,637
7/21/2019,59160,59126,1684,147,693
7/22/2019,59110,59123,10162,147,743
7/23/2019,59150,59127,11473,152,698
7/24/2019,59167,59131,208,155,678
7/25/2019,58961,59129,8016,155,884
7/26/2019,59048,59142,9295,156,796
7/27/2019,58964,59138,12946,154,882
7/28/2019,58881,59128,10866,153,966
7/29/2019,58700,59115,8957,151,1149
7/30/2019,58868,59106,12495,150,982
7/31/2019,58992,59105,2158,149,859
8/1/2019,59014,59102,9204,149,837
8/2/2019,58848,59091,10797,148,1004
8/3/2019,58863,59082,17490,147,990
8/4/2019,58788,59071,2357,146,1066
8/5/2019,58857,59063,11870,147,996
8/6/2019,59052,59062,10084,150,798
8/7/2019,59067,59060,4213,150,783
8/8/2019,59063,59057,8283,147,790
8/9/2019,58981,59050,7633,144,875
8/10/2019,58634,59032,17708,142,1224
8/11/2019,58772,59017,7260,139,1089
8/12/2019,58902,59007,9809,139,959
8/13/2019,58989,59002,9367,140,871
8/14/2019,59056,58998,9763,143,801
8/15/2019,59087,58994,10065,145,768
8/16/2019,59086,58990,17064,144,770
8/17/2019,59077,58985,4890,141,782
8/18/2019,59060,58980,13410,140,800
8/19/2019,58933,58971,9764,138,929
8/20/2019,58999,58965,9012,142,859
8/21/2019,58999,58961,9016,144,857
8/22/2019,59142,58961,12185,144,714
8/23/2019,59135,58960,7634,145,720
8/24/2019,58976,58961,15726,147,877
8/25/2019,58973,58958,6105,148,879
8/26/2019,58663,58948,11389,149,1188
8/27/2019,58967,58951,7818,148,885
8/28/2019,59036,58962,449,146,818
8/29/2019,59086,58969,666,149,765
8/30/2019,59070,58972,15097,152,778
8/31/2019,59053,58973,5784,151,796
9/1/2019,59097,58982,3724,151,752
9/2/2019,58937,58984,5967,150,913
9/3/2019,58860,58986,15429,150,990
9/4/2019,59033,58992,3187,149,818
9/5/2019,59081,58993,7311,150,769
9/6/2019,59129,58995,5081,149,722
9/7/2019,59145,58998,11473,147,708
9/8/2019,59158,59004,6612,144,698
9/9/2019,59169,59022,5355,143,688
9/10/2019,59216,59037,5088,147,637
9/11/2019,59207,59047,9097,150,643
9/12/2019,59227,59055,5857,150,623
9/13/2019,59217,59060,6576,154,629
9/14/2019,59203,59064,9168,155,642
9/15/2019,59113,59065,8040,157,730
9/16/2019,59151,59067,8981,159,690
9/17/2019,59184,59071,6509,162,654
9/18/2019,59252,59082,3209,160,588
9/19/2019,59175,59088,6638,160,665
9/20/2019,59221,59095,4729,158,621
9/21/2019,59210,59098,9038,155,635
9/22/2019,59030,59094,7911,153,817
9/23/2019,58977,59094,10120,152,871
9/24/2019,59115,59099,3803,153,732
9/25/2019,59114,59114,9380,154,732
9/26/2019,59177,59121,10918,154,669
9/27/2019,59189,59126,5386,154,657
9/28/2019,59143,59128,10078,158,699
9/29/2019,59005,59126,5012,163,832
9/30/2019,58694,59114,6344,168,1138
10/1/2019,59014,59111,2852,173,813
10/2/2019,59116,59117,4470,181,703
10/3/2019,59143,59126,6500,186,671
10/4/2019,59172,59131,7162,190,638
10/5/2019,58994,59128,9593,194,812
10/6/2019,58924,59121,3281,198,878
10/7/2019,58981,59116,6836,204,815
10/8/2019,59040,59112,9097,211,749
10/9/2019,59164,59112,4206,211,625
10/10/2019,59072,59107,10095,205,723
10/11/2019,59097,59103,5836,197,706
