Date,Daily Average,Six Month Average,Amount Traded
2019-05-30,20714,20703,55440
2019-05-31,20719,20704,41459
2019-06-01,20725,20705,58573
2019-06-02,20704,20706,61147
2019-06-03,20681,20705,48779
2019-06-04,20682,20705,80411
2019-06-05,20693,20704,8611
2019-06-06,20710,20704,57157
2019-06-07,20710,20705,56134
2019-06-08,20708,20704,78806
2019-06-09,20697,20704,15059
2019-06-10,20705,20704,23143
2019-06-11,20678,20703,79647
2019-06-12,20678,20702,55468
2019-06-13,20697,20702,75456
2019-06-14,20710,20702,65744
2019-06-15,20708,20702,45919
2019-06-16,20684,20701,5055
2019-06-17,20703,20700,61945
2019-06-18,20707,20700,41707
2019-06-19,20701,20700,56327
2019-06-20,20707,20700,94964
2019-06-21,20669,20699,55990
2019-06-22,20662,20698,46885
2019-06-23,20673,20697,436
2019-06-24,20678,20697,50892
2019-06-25,20676,20696,62198
2019-06-26,20691,20696,58197
2019-06-27,20671,20695,73362
2019-06-28,20699,20694,31393
2019-06-29,20711,20694,70841
2019-06-30,20715,20694,15459
2019-07-01,20715,20694,38169
2019-07-02,20712,20694,71052
2019-07-03,20722,20695,67304
2019-07-04,20702,20696,45092
2019-07-05,20675,20695,75695
2019-07-06,20668,20694,60058
2019-07-07,20647,20692,63355
2019-07-08,20670,20691,51459
2019-07-09,20688,20690,76453
2019-07-10,20703,20690,3762
2019-07-11,20718,20692,51090
2019-07-12,20730,20693,90217
2019-07-13,20707,20694,33527
2019-07-14,20692,20693,26642
2019-07-15,20694,20693,34386
2019-07-16,20709,20693,58575
2019-07-17,20708,20694,25057
2019-07-18,20710,20694,51353
2019-07-19,20710,20694,53510
2019-07-20,20710,20694,51122
2019-07-21,20694,20695,9427
2019-07-22,20684,20696,59838
2019-07-23,20687,20696,68373
2019-07-24,20690,20696,1509
2019-07-25,20680,20697,47345
2019-07-26,20685,20696,52521
2019-07-27,20682,20697,74075
2019-07-28,20642,20695,60553
2019-07-29,20617,20692,52892
2019-07-30,20625,20689,79219
2019-07-31,20649,20687,13407
2019-08-01,20644,20684,55072
2019-08-02,20632,20681,59000
2019-08-03,20628,20679,98248
2019-08-04,20610,20677,12625
2019-08-05,20591,20674,73010
2019-08-06,20621,20673,56900
2019-08-07,20628,20672,27854
2019-08-08,20645,20670,43342
2019-08-09,20648,20669,44455
2019-08-10,20592,20664,96862
2019-08-11,20587,20660,43748
2019-08-12,20572,20655,60785
2019-08-13,20594,20652,55625
2019-08-14,20614,20649,56690
2019-08-15,20639,20647,57179
2019-08-16,20662,20645,98921
2019-08-17,20658,20644,26512
2019-08-18,20645,20641,77920
2019-08-19,20644,20639,54891
2019-08-20,20639,20637,46707
2019-08-21,20648,20636,52989
2019-08-22,20637,20634,72706
2019-08-23,20636,20633,42753
2019-08-24,20643,20631,90842
2019-08-25,20642,20630,35281
2019-08-26,20649,20629,63791
2019-08-27,20654,20629,44659
2019-08-28,20660,20631,3607
2019-08-29,20684,20633,2817
2019-08-30,20683,20634,84854
2019-08-31,20669,20635,31131
2019-09-01,20654,20635,24153
2019-09-02,20657,20636,30177
2019-09-03,20669,20638,79262
2019-09-04,20679,20641,23280
2019-09-05,20675,20643,47448
2019-09-06,20672,20645,34015
2019-09-07,20668,20645,83613
2019-09-08,20647,20645,44590
2019-09-09,20645,20647,40612
2019-09-10,20665,20650,38578
2019-09-11,20678,20653,68269
2019-09-12,20685,20656,43523
2019-09-13,20695,20659,46866
2019-09-14,20692,20661,60986
2019-09-15,20687,20661,57304
2019-09-16,20677,20662,62137
2019-09-17,20640,20662,51226
2019-09-18,20661,20663,24356
2019-09-19,20658,20663,44407
2019-09-20,20674,20664,37375
2019-09-21,20665,20665,63469
2019-09-22,20655,20666,56052
2019-09-23,20661,20666,76105
2019-09-24,20636,20666,29643
2019-09-25,20620,20665,65308
2019-09-26,20644,20665,75444
2019-09-27,20639,20664,36607
2019-09-28,20648,20663,69363
2019-09-29,20608,20660,35391
2019-09-30,20588,20658,42129
2019-10-01,20612,20656,22725
2019-10-02,20605,20654,33994
2019-10-03,20630,20653,50031
2019-10-04,20633,20652,46544
2019-10-05,20598,20649,62697
2019-10-06,20618,20647,23790
2019-10-07,20566,20644,48107
2019-10-08,20603,20642,67969
2019-10-09,20598,20641,26031
2019-10-10,20584,20638,66834
2019-10-11,20586,20635,42959
2019-10-12,20570,20631,59705
2019-10-13,20568,20627,6333
2019-10-14,20597,20624,68692
2019-10-15,20621,20622,39182
2019-10-16,20634,20620,14026
2019-10-17,20634,20620,32674
2019-10-18,20618,20619,68258
2019-10-19,20620,20617,75655
2019-10-20,20614,20615,41083
2019-10-21,20605,20613,44309
2019-10-22,20634,20613,46117
2019-10-23,20651,20612,63919
2019-10-24,20646,20613,50264
2019-10-25,20642,20613,58972
2019-10-26,20620,20613,68378
2019-10-27,20617,20612,47745
2019-10-28,20606,20610,67960
2019-10-29,20627,20611,28205
2019-10-30,20637,20613,39770
2019-10-31,20664,20614,50932
2019-11-01,20674,20617,53231
2019-11-02,20664,20618,74505
2019-11-03,20600,20617,17807
2019-11-04,20614,20617,56286
2019-11-05,20640,20618,27643
2019-11-06,20633,20620,48361
2019-11-07,20618,20621,43376
2019-11-08,20607,20621,57311
2019-11-09,20605,20622,71501
2019-11-10,20542,20620,15696
2019-11-11,20576,20620,8749
2019-11-12,20603,20622,38325
2019-11-13,20610,20622,43202
2019-11-14,20620,20622,48185
2019-11-15,20627,20622,60141
2019-11-16,20630,20622,84458
2019-11-17,20611,20621,24197
2019-11-18,20597,20621,66527
2019-11-19,20628,20621,36905
2019-11-20,20647,20623,8150
2019-11-21,20639,20623,29086
2019-11-22,20629,20622,58287
2019-11-23,20632,20621,56375
2019-11-24,20644,20622,52271
2019-11-25,20643,20622,23744
