Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average
5/30/2019,130,136,36289642,156
5/31/2019,132,136,32964002,157
6/1/2019,135,136,43891205,155
6/2/2019,138,136,40668730,149
6/3/2019,139,136,30172405,143
6/4/2019,136,136,46254620,142
6/5/2019,136,136,5064856,147
6/6/2019,136,136,35360202,153
6/7/2019,134,136,38298207,157
6/8/2019,135,136,50796167,159
6/9/2019,136,136,8759003,158
6/10/2019,136,135,13280607,155
6/11/2019,134,135,48625654,158
6/12/2019,132,135,30605932,155
6/13/2019,131,135,42464852,152
6/14/2019,130,134,42580262,151
6/15/2019,131,134,29133406,144
6/16/2019,135,134,2901898,140
6/17/2019,134,133,40749514,142
6/18/2019,132,133,26688972,147
6/19/2019,131,133,37017136,150
6/20/2019,131,133,54733134,149
6/21/2019,131,132,34065210,153
6/22/2019,132,132,31041848,155
6/23/2019,130,132,224027,155
6/24/2019,127,132,31341391,156
6/25/2019,126,132,37324334,158
6/26/2019,126,132,34089406,161
6/27/2019,128,132,44932720,163
6/28/2019,127,132,21052446,167
6/29/2019,128,132,45067069,167
6/30/2019,132,132,9140970,164
7/1/2019,134,132,21931245,161
7/2/2019,130,132,42359848,159
7/3/2019,128,131,41106020,158
7/4/2019,126,131,27609805,157
7/5/2019,125,130,45627865,155
7/6/2019,126,130,33745328,151
7/7/2019,127,130,36741182,146
7/8/2019,127,130,26959597,142
7/9/2019,127,129,44508248,146
7/10/2019,127,129,1942682,150
7/11/2019,128,129,31526408,152
7/12/2019,130,129,56343573,155
7/13/2019,130,129,21961987,155
7/14/2019,133,129,16229522,153
7/15/2019,134,129,21308715,151
7/16/2019,134,129,34044775,150
7/17/2019,134,129,13986931,151
7/18/2019,134,129,33789698,152
7/19/2019,135,129,35077186,150
7/20/2019,136,129,33328524,148
7/21/2019,137,129,4863750,147
7/22/2019,138,130,31785754,147
7/23/2019,138,130,39586171,152
7/24/2019,135,130,788827,155
7/25/2019,134,130,26218142,155
7/26/2019,132,131,33142012,156
7/27/2019,129,131,49877239,154
7/28/2019,127,131,40714716,153
7/29/2019,126,131,29933730,151
7/30/2019,125,130,43989114,150
7/31/2019,123,130,8771553,149
8/1/2019,122,130,37462793,149
8/2/2019,123,130,36508910,148
8/3/2019,126,130,59196790,147
8/4/2019,125,130,6898765,146
8/5/2019,124,130,42011621,147
8/6/2019,123,129,35403668,150
8/7/2019,124,129,16217953,150
8/8/2019,126,129,29743215,147
8/9/2019,129,129,26710392,144
8/10/2019,133,129,61965544,142
8/11/2019,131,130,27839741,139
8/12/2019,129,129,35000511,139
8/13/2019,127,129,32161342,140
8/14/2019,124,129,32688779,143
8/15/2019,123,129,34850516,145
8/16/2019,123,128,63801037,144
8/17/2019,124,128,18826814,141
8/18/2019,126,128,48106258,140
8/19/2019,128,127,31119933,138
8/20/2019,128,127,27704035,142
8/21/2019,127,127,29780920,144
8/22/2019,128,126,42882000,144
8/23/2019,133,126,27786510,145
8/24/2019,140,126,61620962,147
8/25/2019,145,127,22349924,148
8/26/2019,147,127,38778919,149
8/27/2019,143,128,26817244,148
8/28/2019,140,128,1691635,146
8/29/2019,135,129,1538071,149
8/30/2019,132,129,53922596,152
8/31/2019,134,130,21326184,151
9/1/2019,136,130,13770679,151
9/2/2019,139,130,19444916,150
9/3/2019,143,131,49858757,150
9/4/2019,144,132,13032404,149
9/5/2019,143,132,27682417,150
9/6/2019,143,133,21355811,149
9/7/2019,143,134,45839900,147
9/8/2019,143,134,26236377,144
9/9/2019,142,134,21788211,143
9/10/2019,141,135,24209381,147
9/11/2019,141,135,40197355,150
9/12/2019,143,136,26703290,150
9/13/2019,145,136,27200166,154
9/14/2019,146,137,34813005,155
9/15/2019,146,138,32477024,157
9/16/2019,146,139,35512301,159
9/17/2019,145,139,28256889,162
9/18/2019,144,140,13256146,160
9/19/2019,142,140,25353956,160
9/20/2019,142,141,23904276,158
9/21/2019,147,141,37505222,155
9/22/2019,152,142,33500183,153
9/23/2019,159,143,42024249,152
9/24/2019,160,143,15655384,153
9/25/2019,163,144,35867359,154
9/26/2019,160,144,45944735,154
9/27/2019,157,145,23357183,154
9/28/2019,159,146,39497925,158
9/29/2019,156,146,22482625,163
9/30/2019,155,147,24809263,168
10/1/2019,156,148,13662457,173
10/2/2019,157,148,20033878,181
10/3/2019,160,149,30285438,186
10/4/2019,164,150,28707039,190
