Date,Daily Average,Six Month Average,Amount Traded,Nature Rune Daily Average,
5/30/2019,59659,59636,12090,156,185
5/31/2019,59675,59635,9847,157,168
6/1/2019,59682,59635,13127,155,163
6/2/2019,59643,59633,13993,149,208
6/3/2019,59665,59632,10233,143,192
6/4/2019,59665,59632,17831,142,193
6/5/2019,59941,59642,1934,147,-88
6/6/2019,59857,59653,12712,153,-10
6/7/2019,59678,59658,12861,157,165
6/8/2019,59681,59663,15383,159,160
6/9/2019,59669,59666,3672,158,173
6/10/2019,59635,59669,5276,155,210
6/11/2019,59599,59670,17043,158,243
6/12/2019,59656,59675,11692,155,189
6/13/2019,59675,59678,16018,152,173
6/14/2019,59683,59682,14753,151,166
6/15/2019,59730,59687,10234,144,126
6/16/2019,59894,59696,1029,140,-34
6/17/2019,59697,59698,14172,142,161
6/18/2019,59698,59695,10711,147,155
6/19/2019,59666,59697,12537,150,184
6/20/2019,59680,59699,19281,149,171
6/21/2019,59683,59700,11986,153,164
6/22/2019,59720,59702,10267,155,125
6/23/2019,59684,59700,60,155,161
6/24/2019,59650,59700,11415,156,194
6/25/2019,59690,59702,12769,158,152
6/26/2019,59681,59703,12023,161,158
6/27/2019,59656,59698,15436,163,181
6/28/2019,59683,59695,6619,167,150
6/29/2019,59691,59696,14695,167,142
6/30/2019,59698,59697,3158,164,138
7/1/2019,59693,59698,8683,161,146
7/2/2019,59712,59700,14642,159,129
7/3/2019,59682,59700,14349,158,160
7/4/2019,59704,59702,9100,157,139
7/5/2019,59709,59694,15265,155,136
7/6/2019,59684,59688,12920,151,165
7/7/2019,59709,59689,12557,146,145
7/8/2019,59711,59690,10476,142,147
7/9/2019,59710,59692,15977,146,144
7/10/2019,59716,59694,749,150,134
7/11/2019,59674,59697,10836,152,174
7/12/2019,59726,59699,17854,155,119
7/13/2019,59693,59700,6727,155,152
7/14/2019,59752,59702,4748,153,95
7/15/2019,59728,59702,7007,151,121
7/16/2019,59667,59694,11425,150,183
7/17/2019,59662,59693,4761,151,187
7/18/2019,59663,59692,10565,152,185
7/19/2019,59647,59691,11921,150,203
7/20/2019,59655,59691,10087,148,197
7/21/2019,59685,59691,1407,147,168
7/22/2019,59671,59689,11781,147,182
7/23/2019,59666,59688,13447,152,182
7/24/2019,59683,59690,379,155,162
7/25/2019,59560,59685,9706,155,285
7/26/2019,59590,59682,10041,156,254
7/27/2019,59646,59682,13504,154,200
7/28/2019,59634,59680,10965,153,213
7/29/2019,59599,59677,10745,151,250
7/30/2019,59414,59668,15945,150,436
7/31/2019,59633,59666,2358,149,218
8/1/2019,59980,59675,10458,149,-129
8/2/2019,60284,59695,11206,148,-432
8/3/2019,59700,59695,19822,147,153
8/4/2019,59570,59690,2447,146,284
8/5/2019,59637,59688,13769,147,216
8/6/2019,59697,59688,11292,150,153
8/7/2019,59624,59685,4848,150,226
8/8/2019,59672,59684,8922,147,181
8/9/2019,59687,59683,7925,144,169
8/10/2019,59673,59683,19147,142,185
8/11/2019,59650,59680,8125,139,211
8/12/2019,59678,59680,12339,139,183
8/13/2019,59610,59675,11501,140,250
8/14/2019,59604,59671,10878,143,253
8/15/2019,59660,59671,10974,145,195
8/16/2019,59654,59670,18843,144,202
8/17/2019,59642,59670,5276,141,217
8/18/2019,59570,59667,15958,140,290
8/19/2019,59580,59665,11313,138,282
8/20/2019,59633,59663,9940,142,225
8/21/2019,59615,59661,9705,144,241
8/22/2019,59607,59659,14780,144,249
8/23/2019,59572,59655,8585,145,283
8/24/2019,59590,59656,18924,147,263
8/25/2019,59565,59656,8119,148,287
8/26/2019,59545,59652,12432,149,306
8/27/2019,59577,59650,9915,148,275
8/28/2019,59579,59650,538,146,275
8/29/2019,59626,59657,478,149,225
8/30/2019,59608,59656,15321,152,240
8/31/2019,59635,59644,6827,151,214
9/1/2019,59654,59623,4640,151,195
9/2/2019,59618,59621,6523,150,232
9/3/2019,59625,59622,16029,150,225
9/4/2019,59599,59621,4601,149,252
9/5/2019,59630,59619,9600,150,220
9/6/2019,59676,59621,8712,149,175
9/7/2019,59572,59617,16588,147,281
9/8/2019,59614,59615,9979,144,242
9/9/2019,59618,59613,8781,143,239
9/10/2019,59605,59612,9171,147,248
9/11/2019,59610,59609,14003,150,240
9/12/2019,59634,59610,9760,150,216
