Date,Daily Average,Six Month Average,Amount Traded,Item ID
2019-05-30,37827,37903,80494,1079
2019-05-31,37879,37901,96701,1079
2019-06-01,37607,37889,132639,1079
2019-06-02,37566,37877,132110,1079
2019-06-03,37679,37868,87555,1079
2019-06-04,37763,37862,108640,1079
2019-06-05,37861,37860,9625,1079
2019-06-06,37892,37858,104935,1079
2019-06-07,37681,37851,117535,1079
2019-06-08,37592,37840,169034,1079
2019-06-09,37548,37826,18114,1079
2019-06-10,37722,37820,30133,1079
2019-06-11,37824,37817,94142,1079
2019-06-12,37906,37816,60112,1079
2019-06-13,37947,37817,74044,1079
2019-06-14,37979,37817,63794,1079
2019-06-15,38016,37819,34021,1079
2019-06-16,38043,37822,4757,1079
2019-06-17,37988,37823,61992,1079
2019-06-18,37973,37827,43610,1079
2019-06-19,37955,37829,51738,1079
2019-06-20,37973,37831,89143,1079
2019-06-21,37962,37834,46430,1079
2019-06-22,37987,37838,36966,1079
2019-06-23,38048,37843,383,1079
2019-06-24,37936,37843,50876,1079
2019-06-25,37926,37847,63422,1079
2019-06-26,37924,37854,52068,1079
2019-06-27,37932,37858,72752,1079
2019-06-28,37941,37862,30278,1079
2019-06-29,37951,37866,70492,1079
2019-06-30,37948,37869,13438,1079
2019-07-01,37935,37879,33111,1079
2019-07-02,37965,37893,82386,1079
2019-07-03,37917,37901,64442,1079
2019-07-04,37939,37907,43596,1079
2019-07-05,37927,37909,81684,1079
2019-07-06,37885,37909,49285,1079
2019-07-07,37930,37917,57998,1079
2019-07-08,37934,37928,47526,1079
2019-07-09,37930,37941,71135,1079
2019-07-10,37944,37948,2627,1079
2019-07-11,37949,37953,51273,1079
2019-07-12,37945,37954,99806,1079
2019-07-13,37942,37954,35424,1079
2019-07-14,37934,37952,25135,1079
2019-07-15,37943,37950,28281,1079
2019-07-16,38001,37948,54207,1079
2019-07-17,37990,37948,22804,1079
2019-07-18,37978,37949,53928,1079
2019-07-19,37930,37948,47490,1079
2019-07-20,37941,37947,47156,1079
2019-07-21,37945,37946,8182,1079
2019-07-22,37921,37944,56489,1079
2019-07-23,37919,37940,63447,1079
2019-07-24,37937,37940,1435,1079
2019-07-25,37901,37939,44421,1079
