@relation osrs

@attribute DailyAverage numeric
@attribute Six_Month_Average numeric
@attribute Amount_Traded numeric
@attribute Nature_Rune_Daily_Average numeric
@attribute Worth_Alching {TRUE,FALSE}
@attribute Profit numeric
@attribute Profit_greater_than_0.75_percent {TRUE,FALSE}
@attribute Profit_than_1_percent {TRUE,FALSE}

@data
37974,37940,69251,206,TRUE,220,FALSE,TRUE
37976,37942,54134,205,TRUE,219,FALSE,TRUE
37949,37942,73131,203,TRUE,248,FALSE,TRUE
37943,37942,82790,200,TRUE,257,FALSE,TRUE
37903,37942,69901,200,TRUE,297,TRUE,TRUE
37903,37941,102964,206,TRUE,291,TRUE,TRUE
37935,37942,12529,211,TRUE,254,FALSE,TRUE
37915,37943,92078,213,TRUE,272,FALSE,TRUE
37930,37943,83640,213,TRUE,257,FALSE,TRUE
37961,37944,117508,213,TRUE,226,FALSE,TRUE
37935,37944,28234,209,TRUE,256,FALSE,TRUE
37902,37943,29010,209,TRUE,289,TRUE,TRUE
37910,37942,97618,211,TRUE,279,FALSE,TRUE
37941,37942,76325,212,TRUE,247,FALSE,TRUE
37951,37942,103516,213,TRUE,236,FALSE,TRUE
37929,37940,96328,214,TRUE,257,FALSE,TRUE
37924,37939,68568,212,TRUE,264,FALSE,TRUE
37889,37936,5621,211,TRUE,300,TRUE,TRUE
37922,37936,84504,211,TRUE,267,FALSE,TRUE
37928,37937,66480,210,TRUE,262,FALSE,TRUE
37878,37934,78853,211,TRUE,311,TRUE,TRUE
37926,37934,112994,211,TRUE,263,FALSE,TRUE
37951,37934,64797,212,TRUE,237,FALSE,TRUE
37962,37935,56801,212,TRUE,226,FALSE,TRUE
37944,37935,335,210,TRUE,246,FALSE,TRUE
37939,37934,66742,210,TRUE,251,FALSE,TRUE
37941,37934,91864,208,TRUE,251,FALSE,TRUE
37889,37932,77608,206,TRUE,305,TRUE,TRUE
37928,37931,109998,205,TRUE,267,FALSE,TRUE
37909,37929,52691,206,TRUE,285,TRUE,TRUE
37916,37927,96449,205,TRUE,279,FALSE,TRUE
37973,37927,24805,205,TRUE,222,FALSE,TRUE
37935,37927,52506,207,TRUE,258,FALSE,TRUE
37928,37926,101238,207,TRUE,265,FALSE,TRUE
37939,37927,88454,208,TRUE,253,FALSE,TRUE
37940,37929,63818,208,TRUE,252,FALSE,TRUE
37914,37928,93513,205,TRUE,281,FALSE,TRUE
37905,37927,86578,204,TRUE,291,TRUE,TRUE
37872,37926,102420,202,TRUE,326,TRUE,TRUE
37827,37921,75820,202,TRUE,371,TRUE,TRUE
37871,37919,98599,203,TRUE,326,TRUE,TRUE
37920,37920,5432,205,TRUE,275,FALSE,TRUE
37942,37921,63916,206,TRUE,252,FALSE,TRUE
37954,37921,109267,206,TRUE,240,FALSE,TRUE
37967,37922,46303,206,TRUE,227,FALSE,TRUE
37935,37922,35894,204,TRUE,261,FALSE,TRUE
37949,37923,45219,205,TRUE,246,FALSE,TRUE
37952,37925,79120,206,TRUE,242,FALSE,TRUE
37956,37926,22162,208,TRUE,236,FALSE,TRUE
37975,37927,76561,209,TRUE,216,FALSE,TRUE
37942,37930,80149,210,TRUE,248,FALSE,TRUE
37927,37930,68384,211,TRUE,262,FALSE,TRUE
37931,37929,11615,210,TRUE,259,FALSE,TRUE
37949,37928,80284,211,TRUE,240,FALSE,TRUE
37951,37929,101418,214,TRUE,235,FALSE,TRUE
37876,37927,2452,215,TRUE,309,TRUE,TRUE
37848,37924,63064,214,TRUE,338,TRUE,TRUE
37906,37924,75373,214,TRUE,280,FALSE,TRUE
