@relation osrs

@attribute DailyAverage numeric
@attribute Profitable {TRUE,FALSE}

@data
181,FALSE
182,FALSE
182,FALSE
184,FALSE
185,FALSE
185,FALSE
185,FALSE
189,FALSE
187,FALSE
185,FALSE
185,FALSE
185,FALSE
178,FALSE
173,FALSE
169,TRUE
168,TRUE
167,TRUE
168,TRUE
170,TRUE
171,TRUE
171,TRUE
172,TRUE
171,TRUE
163,TRUE
158,TRUE
158,TRUE
163,TRUE
166,TRUE
172,TRUE
177,TRUE
179,FALSE
178,TRUE
179,FALSE
183,FALSE
189,FALSE
193,FALSE
196,FALSE
189,FALSE
184,FALSE
183,FALSE
182,FALSE
184,FALSE
191,FALSE
193,FALSE
198,FALSE
203,FALSE
197,FALSE
194,FALSE
190,FALSE
183,FALSE
182,FALSE
182,FALSE
181,FALSE
182,FALSE
177,FALSE
174,FALSE
168,TRUE
167,TRUE
166,TRUE
162,TRUE
163,TRUE
166,TRUE
170,TRUE
174,TRUE
175,TRUE
177,TRUE
172,TRUE
172,TRUE
170,TRUE
164,TRUE
158,TRUE
156,TRUE
154,TRUE
155,TRUE
154,TRUE
156,TRUE
156,TRUE
151,TRUE
150,TRUE
150,TRUE
148,TRUE
152,TRUE
150,TRUE
156,TRUE
153,TRUE
151,TRUE
145,TRUE
144,TRUE
147,TRUE
154,TRUE
159,TRUE
162,TRUE
165,TRUE
163,TRUE
165,TRUE
165,TRUE
165,TRUE
171,TRUE
171,TRUE
171,TRUE
173,TRUE
177,FALSE
179,FALSE
184,FALSE
186,FALSE
189,FALSE
186,FALSE
183,FALSE
185,FALSE
188,FALSE
191,FALSE
185,FALSE
183,FALSE
184,FALSE
184,FALSE
185,FALSE
183,FALSE
183,FALSE
176,FALSE
176,FALSE
176,FALSE
168,FALSE
168,FALSE
161,FALSE
157,TRUE
157,FALSE
156,FALSE
158,FALSE
155,FALSE
152,FALSE
151,FALSE
148,FALSE
148,FALSE
145,FALSE
141,FALSE
137,TRUE
141,TRUE
143,TRUE
144,FALSE
140,TRUE
140,TRUE
140,TRUE
139,TRUE
140,TRUE
140,TRUE
143,TRUE
144,TRUE
145,TRUE
146,TRUE
146,TRUE
143,TRUE
149,TRUE
149,TRUE
146,TRUE
148,TRUE
146,TRUE
144,TRUE
141,TRUE
144,TRUE
144,TRUE
143,TRUE
146,TRUE
148,TRUE
148,TRUE
143,TRUE
143,TRUE
142,TRUE
143,TRUE
147,TRUE
152,FALSE
156,FALSE
156,TRUE
154,TRUE
154,TRUE
153,TRUE
153,TRUE
152,TRUE
149,TRUE
144,TRUE
148,TRUE
