@relation osrs

@attribute Daily_Average NUMERIC
@attribute Six_Month_Average NUMERIC
@attribute Amount_Traded NUMERIC
@attribute Daily_Average_less_than_Six_Month_Trend {TRUE,FALSE}
@attribute Amount_Traded_greater_than_average {TRUE,FALSE}
@attribute Compare_previous_columns {TRUE,FALSE}

@data
124,123,35415846,FALSE,TRUE,FALSE
124,123,24686258,FALSE,FALSE,TRUE
124,123,32597969,FALSE,TRUE,FALSE
123,123,35259600,FALSE,TRUE,FALSE
123,122,28280003,FALSE,TRUE,FALSE
122,122,45908540,FALSE,TRUE,FALSE
122,122,5837603,FALSE,FALSE,TRUE
123,122,33694839,FALSE,TRUE,FALSE
123,122,35673820,FALSE,TRUE,FALSE
123,122,44248372,FALSE,TRUE,FALSE
123,122,8026473,FALSE,FALSE,TRUE
123,122,12355532,FALSE,FALSE,TRUE
123,122,42588323,FALSE,TRUE,FALSE
123,122,31188851,FALSE,TRUE,FALSE
123,122,38577999,FALSE,TRUE,FALSE
125,123,41468740,FALSE,TRUE,FALSE
123,123,24778564,FALSE,FALSE,TRUE
123,123,2732062,FALSE,FALSE,TRUE
123,123,35849528,FALSE,TRUE,FALSE
123,123,22883514,FALSE,FALSE,TRUE
124,123,32417252,FALSE,TRUE,FALSE
125,123,50882906,FALSE,TRUE,FALSE
126,123,30067441,FALSE,TRUE,FALSE
128,123,26214366,FALSE,FALSE,TRUE
130,123,211552,FALSE,FALSE,TRUE
129,124,27737045,FALSE,TRUE,FALSE
126,124,33831916,FALSE,TRUE,FALSE
125,124,29782313,FALSE,TRUE,FALSE
125,124,40870080,FALSE,TRUE,FALSE
125,124,17709339,FALSE,FALSE,TRUE
126,124,39106911,FALSE,TRUE,FALSE
126,124,8616056,FALSE,FALSE,TRUE
127,124,21526254,FALSE,FALSE,TRUE
126,124,40844913,FALSE,TRUE,FALSE
126,124,39068200,FALSE,TRUE,FALSE
127,124,25262725,FALSE,FALSE,TRUE
127,124,43207791,FALSE,TRUE,FALSE
128,125,31599329,FALSE,TRUE,FALSE
129,125,32837294,FALSE,TRUE,FALSE
131,125,28349922,FALSE,TRUE,FALSE
130,125,45240749,FALSE,TRUE,FALSE
128,126,2030225,FALSE,FALSE,TRUE
128,126,29766852,FALSE,TRUE,FALSE
128,126,49475062,FALSE,TRUE,FALSE
128,126,20038102,FALSE,FALSE,TRUE
124,126,14851856,TRUE,FALSE,FALSE
121,126,19194320,TRUE,FALSE,FALSE
121,126,31044046,TRUE,TRUE,TRUE
121,126,13549417,TRUE,FALSE,FALSE
122,126,27988573,TRUE,TRUE,TRUE
120,126,28002690,TRUE,TRUE,TRUE
121,125,28060453,TRUE,TRUE,TRUE
120,125,4538453,TRUE,FALSE,FALSE
119,125,33571897,TRUE,TRUE,TRUE
119,125,36296469,TRUE,TRUE,TRUE
120,124,957100,TRUE,FALSE,FALSE
120,124,25107149,TRUE,FALSE,FALSE
120,124,28452335,TRUE,TRUE,TRUE
119,124,39526466,TRUE,TRUE,TRUE
119,124,32861180,TRUE,TRUE,TRUE
119,123,28286726,TRUE,TRUE,TRUE
117,123,40647148,TRUE,TRUE,TRUE
115,123,7164222,TRUE,FALSE,FALSE
113,122,27969869,TRUE,TRUE,TRUE
111,122,32414698,TRUE,TRUE,TRUE
108,121,53453081,TRUE,TRUE,TRUE
107,120,6221693,TRUE,FALSE,FALSE
106,120,38692558,TRUE,TRUE,TRUE
106,119,29420309,TRUE,TRUE,TRUE
